QuestionID,QuestionType,Question,Answer,Selection,True_ANS
Q2-001,Attribute Query,"What is the largest cavity diameter (LCD) of ""K2Cd3H60C68(N2O13)2""?",The largest cavity diameter (LCD) of K2Cd3H60C68(N2O13)2 is 6.8368 Å.,A. The largest cavity diameter (LCD) of K2Cd3H60C68(N2O13)2 is 7.1103 Å.; B. The largest cavity diameter (LCD) of K2Cd3H60C68(N2O13)2 is 6.3582 Å.; C. The largest cavity diameter (LCD) of K2Cd3H60C68(N2O13)2 is 6.9738 Å.; D. The largest cavity diameter (LCD) of K2Cd3H60C68(N2O13)2 is 6.8368 Å.,D
Q2-012,Attribute Query,"What is the pore limiting diameter (PLD) of ""CoMo2H14C22N3O5""?",The pore limiting diameter (PLD) of CoMo2H14C22N3O5 is 3.4654 Å.,A. The pore limiting diameter (PLD) of CoMo2H14C22N3O5 is 3.6024 Å.; B. The pore limiting diameter (PLD) of CoMo2H14C22N3O5 is 3.604 Å.; C. The pore limiting diameter (PLD) of CoMo2H14C22N3O5 is 3.2228 Å.; D. The pore limiting diameter (PLD) of CoMo2H14C22N3O5 is 3.4654 Å.,D
Q2-013,Attribute Query,"What is the accessible surface area ASA_m2_g of ""MnN9""?",The accessible surface area ASA_m2_g of MnN9 is 0 m²/g.,A. The accessible surface area ASA_m2_g of MnN9 is 0.137 m²/g.; B. The accessible surface area ASA_m2_g of MnN9 is 0 m²/g.; C. The accessible surface area ASA_m2_g of MnN9 is 0 m²/g.; D. The accessible surface area ASA_m2_g of MnN9 is 0 m²/g.,B
Q2-014,Attribute Query,"What is the accessible surface area ASA_m2_cm3 of ""CrCu3H16(C12O5)3""?",The accessible surface area ASA_m2_cm3 of CrCu3H16(C12O5)3 is 2343.6 m²/cm³.,A. The accessible surface area ASA_m2_cm3 of CrCu3H16(C12O5)3 is 2437.4 m²/cm³.; B. The accessible surface area ASA_m2_cm3 of CrCu3H16(C12O5)3 is 2343.8 m²/cm³.; C. The accessible surface area ASA_m2_cm3 of CrCu3H16(C12O5)3 is 2179.6 m²/cm³.; D. The accessible surface area ASA_m2_cm3 of CrCu3H16(C12O5)3 is 2343.6 m²/cm³.,D
Q2-015,Attribute Query,"What is the accessible volume AV_cm3_g of ""Cd3H28(C11O7)4""?",The accessible volume AV_cm3_g of Cd3H28(C11O7)4 is 0.8111 cm³/g.,A. The accessible volume AV_cm3_g of Cd3H28(C11O7)4 is 0.8111 cm³/g.; B. The accessible volume AV_cm3_g of Cd3H28(C11O7)4 is 0.75432 cm³/g.; C. The accessible volume AV_cm3_g of Cd3H28(C11O7)4 is 0.9481 cm³/g.; D. The accessible volume AV_cm3_g of Cd3H28(C11O7)4 is 0.84354 cm³/g.,A
Q2-016,Attribute Query,"What is the largest cavity diameter (LCD) of ""Zn3H30C46(NO2)6""?",The largest cavity diameter (LCD) of Zn3H30C46(NO2)6 is 5.7004 Å.,A. The largest cavity diameter (LCD) of Zn3H30C46(NO2)6 is 5.8374 Å.; B. The largest cavity diameter (LCD) of Zn3H30C46(NO2)6 is 5.7004 Å.; C. The largest cavity diameter (LCD) of Zn3H30C46(NO2)6 is 5.9284 Å.; D. The largest cavity diameter (LCD) of Zn3H30C46(NO2)6 is 5.3013 Å.,B
Q2-017,Attribute Query,"What is the pore limiting diameter (PLD) of ""NaZnH8C12O7""?",The pore limiting diameter (PLD) of NaZnH8C12O7 is 2.4639 Å.,A. The pore limiting diameter (PLD) of NaZnH8C12O7 is 2.2915 Å.; B. The pore limiting diameter (PLD) of NaZnH8C12O7 is 2.6009 Å.; C. The pore limiting diameter (PLD) of NaZnH8C12O7 is 2.5625 Å.; D. The pore limiting diameter (PLD) of NaZnH8C12O7 is 2.4639 Å.,D
Q2-018,Attribute Query,"What is the accessible surface area ASA_m2_g of ""Zn4P6H7O18""?",The accessible surface area ASA_m2_g of Zn4P6H7O18 is 557.05 m²/g.,A. The accessible surface area ASA_m2_g of Zn4P6H7O18 is 518.06 m²/g.; B. The accessible surface area ASA_m2_g of Zn4P6H7O18 is 557.19 m²/g.; C. The accessible surface area ASA_m2_g of Zn4P6H7O18 is 557.05 m²/g.; D. The accessible surface area ASA_m2_g of Zn4P6H7O18 is 579.33 m²/g.,C
Q2-019,Attribute Query,"What is the accessible surface area ASA_m2_cm3 of ""Mn3P2H3(C3O10)2""?",The accessible surface area ASA_m2_cm3 of Mn3P2H3(C3O10)2 is 405.12 m²/cm³.,A. The accessible surface area ASA_m2_cm3 of Mn3P2H3(C3O10)2 is 405.26 m²/cm³.; B. The accessible surface area ASA_m2_cm3 of Mn3P2H3(C3O10)2 is 421.33 m²/cm³.; C. The accessible surface area ASA_m2_cm3 of Mn3P2H3(C3O10)2 is 376.76 m²/cm³.; D. The accessible surface area ASA_m2_cm3 of Mn3P2H3(C3O10)2 is 405.12 m²/cm³.,D
Q2-020,Attribute Query,"What is the accessible volume AV_cm3_g of ""GaFe2(PO4)4""?",The accessible volume AV_cm3_g of GaFe2(PO4)4 is 0.58484 cm³/g.,A. The accessible volume AV_cm3_g of GaFe2(PO4)4 is 0.58484 cm³/g.; B. The accessible volume AV_cm3_g of GaFe2(PO4)4 is 0.5439 cm³/g.; C. The accessible volume AV_cm3_g of GaFe2(PO4)4 is 0.60823 cm³/g.; D. The accessible volume AV_cm3_g of GaFe2(PO4)4 is 0.72184 cm³/g.,A
Q2-021,Attribute Query,"What is the largest cavity diameter (LCD) of ""Cd4H225C219(NO4)8""?",The largest cavity diameter (LCD) of Cd4H225C219(NO4)8 is 5.89 Å.,A. The largest cavity diameter (LCD) of Cd4H225C219(NO4)8 is 5.89 Å.; B. The largest cavity diameter (LCD) of Cd4H225C219(NO4)8 is 6.1256 Å.; C. The largest cavity diameter (LCD) of Cd4H225C219(NO4)8 is 6.027 Å.; D. The largest cavity diameter (LCD) of Cd4H225C219(NO4)8 is 5.4777 Å.,A
Q2-022,Attribute Query,"What is the pore limiting diameter (PLD) of ""Cd5H30C48N30(ClO)6""?",The pore limiting diameter (PLD) of Cd5H30C48N30(ClO)6 is 3.8523 Å.,A. The pore limiting diameter (PLD) of Cd5H30C48N30(ClO)6 is 3.8523 Å.; B. The pore limiting diameter (PLD) of Cd5H30C48N30(ClO)6 is 3.9893 Å.; C. The pore limiting diameter (PLD) of Cd5H30C48N30(ClO)6 is 4.0064 Å.; D. The pore limiting diameter (PLD) of Cd5H30C48N30(ClO)6 is 3.5827 Å.,A
Q2-023,Attribute Query,"What is the accessible surface area ASA_m2_g of ""Co3H6C10(N4O3)2""?",The accessible surface area ASA_m2_g of Co3H6C10(N4O3)2 is 287.06 m²/g.,A. The accessible surface area ASA_m2_g of Co3H6C10(N4O3)2 is 266.97 m²/g.; B. The accessible surface area ASA_m2_g of Co3H6C10(N4O3)2 is 287.2 m²/g.; C. The accessible surface area ASA_m2_g of Co3H6C10(N4O3)2 is 298.55 m²/g.; D. The accessible surface area ASA_m2_g of Co3H6C10(N4O3)2 is 287.06 m²/g.,D
Q2-024,Attribute Query,"What is the accessible surface area ASA_m2_cm3 of ""Co3H11C20O11""?",The accessible surface area ASA_m2_cm3 of Co3H11C20O11 is 1831.6 m²/cm³.,A. The accessible surface area ASA_m2_cm3 of Co3H11C20O11 is 1904.8 m²/cm³.; B. The accessible surface area ASA_m2_cm3 of Co3H11C20O11 is 1831.7 m²/cm³.; C. The accessible surface area ASA_m2_cm3 of Co3H11C20O11 is 1831.6 m²/cm³.; D. The accessible surface area ASA_m2_cm3 of Co3H11C20O11 is 1703.4 m²/cm³.,C
Q2-025,Attribute Query,"What is the accessible volume AV_cm3_g of ""DyNiH25C48(NO2)4""?",The accessible volume AV_cm3_g of DyNiH25C48(NO2)4 is 0.37854 cm³/g.,A. The accessible volume AV_cm3_g of DyNiH25C48(NO2)4 is 0.39368 cm³/g.; B. The accessible volume AV_cm3_g of DyNiH25C48(NO2)4 is 0.37854 cm³/g.; C. The accessible volume AV_cm3_g of DyNiH25C48(NO2)4 is 0.35204 cm³/g.; D. The accessible volume AV_cm3_g of DyNiH25C48(NO2)4 is 0.51554 cm³/g.,B
Q2-026,Attribute Query,"What is the largest cavity diameter (LCD) of ""NdH6(C3O4)3""?",The largest cavity diameter (LCD) of NdH6(C3O4)3 is 5.4047 Å.,A. The largest cavity diameter (LCD) of NdH6(C3O4)3 is 5.0263 Å.; B. The largest cavity diameter (LCD) of NdH6(C3O4)3 is 5.5417 Å.; C. The largest cavity diameter (LCD) of NdH6(C3O4)3 is 5.4047 Å.; D. The largest cavity diameter (LCD) of NdH6(C3O4)3 is 5.6208 Å.,C
Q2-027,Attribute Query,"What is the pore limiting diameter (PLD) of ""TbCoH7C12(NO2)4""?",The pore limiting diameter (PLD) of TbCoH7C12(NO2)4 is 3.2257 Å.,A. The pore limiting diameter (PLD) of TbCoH7C12(NO2)4 is 3.3627 Å.; B. The pore limiting diameter (PLD) of TbCoH7C12(NO2)4 is 3.3548 Å.; C. The pore limiting diameter (PLD) of TbCoH7C12(NO2)4 is 2.9999 Å.; D. The pore limiting diameter (PLD) of TbCoH7C12(NO2)4 is 3.2257 Å.,D
Q2-028,Attribute Query,"What is the accessible surface area ASA_m2_g of ""Cd3H24C33NO18""?",The accessible surface area ASA_m2_g of Cd3H24C33NO18 is 1711.8 m²/g.,A. The accessible surface area ASA_m2_g of Cd3H24C33NO18 is 1592 m²/g.; B. The accessible surface area ASA_m2_g of Cd3H24C33NO18 is 1711.9 m²/g.; C. The accessible surface area ASA_m2_g of Cd3H24C33NO18 is 1711.8 m²/g.; D. The accessible surface area ASA_m2_g of Cd3H24C33NO18 is 1780.3 m²/g.,C
Q2-029,Attribute Query,"What is the accessible surface area ASA_m2_cm3 of ""Co3H13(CO)11""?",The accessible surface area ASA_m2_cm3 of Co3H13(CO)11 is 0 m²/cm³.,A. The accessible surface area ASA_m2_cm3 of Co3H13(CO)11 is 0.137 m²/cm³.; B. The accessible surface area ASA_m2_cm3 of Co3H13(CO)11 is 0 m²/cm³.; C. The accessible surface area ASA_m2_cm3 of Co3H13(CO)11 is 0 m²/cm³.; D. The accessible surface area ASA_m2_cm3 of Co3H13(CO)11 is 0 m²/cm³.,B
Q2-030,Attribute Query,"What is the accessible volume AV_cm3_g of ""YHC5(NO2)2""?",The accessible volume AV_cm3_g of YHC5(NO2)2 is 0.19908 cm³/g.,A. The accessible volume AV_cm3_g of YHC5(NO2)2 is 0.19908 cm³/g.; B. The accessible volume AV_cm3_g of YHC5(NO2)2 is 0.18514 cm³/g.; C. The accessible volume AV_cm3_g of YHC5(NO2)2 is 0.20704 cm³/g.; D. The accessible volume AV_cm3_g of YHC5(NO2)2 is 0.33608 cm³/g.,A
Q2-031,Attribute Query,"What is the largest cavity diameter (LCD) of ""Zn3H32C54O13""?",The largest cavity diameter (LCD) of Zn3H32C54O13 is 10.506 Å.,A. The largest cavity diameter (LCD) of Zn3H32C54O13 is 10.926 Å.; B. The largest cavity diameter (LCD) of Zn3H32C54O13 is 10.506 Å.; C. The largest cavity diameter (LCD) of Zn3H32C54O13 is 10.643 Å.; D. The largest cavity diameter (LCD) of Zn3H32C54O13 is 9.7704 Å.,B
Q2-032,Attribute Query,"What is the pore limiting diameter (PLD) of ""Co12H72C88N80Cl3""?",The pore limiting diameter (PLD) of Co12H72C88N80Cl3 is 9.8085 Å.,A. The pore limiting diameter (PLD) of Co12H72C88N80Cl3 is 9.8085 Å.; B. The pore limiting diameter (PLD) of Co12H72C88N80Cl3 is 9.9455 Å.; C. The pore limiting diameter (PLD) of Co12H72C88N80Cl3 is 10.201 Å.; D. The pore limiting diameter (PLD) of Co12H72C88N80Cl3 is 9.1219 Å.,A
Q2-033,Attribute Query,"What is the accessible surface area ASA_m2_g of ""Cu10H42C22N39""?",The accessible surface area ASA_m2_g of Cu10H42C22N39 is 0 m²/g.,A. The accessible surface area ASA_m2_g of Cu10H42C22N39 is 0 m²/g.; B. The accessible surface area ASA_m2_g of Cu10H42C22N39 is 0 m²/g.; C. The accessible surface area ASA_m2_g of Cu10H42C22N39 is 0 m²/g.; D. The accessible surface area ASA_m2_g of Cu10H42C22N39 is 0.137 m²/g.,A
Q2-034,Attribute Query,"What is the accessible surface area ASA_m2_cm3 of ""Zr3H59(C57O8)2""?",The accessible surface area ASA_m2_cm3 of Zr3H59(C57O8)2 is 1643.3 m²/cm³.,A. The accessible surface area ASA_m2_cm3 of Zr3H59(C57O8)2 is 1528.3 m²/cm³.; B. The accessible surface area ASA_m2_cm3 of Zr3H59(C57O8)2 is 1643.5 m²/cm³.; C. The accessible surface area ASA_m2_cm3 of Zr3H59(C57O8)2 is 1643.3 m²/cm³.; D. The accessible surface area ASA_m2_cm3 of Zr3H59(C57O8)2 is 1709.1 m²/cm³.,C
Q2-035,Attribute Query,"What is the accessible volume AV_cm3_g of ""Zn2H24C27(NO2)4""?",The accessible volume AV_cm3_g of Zn2H24C27(NO2)4 is 0.39956 cm³/g.,A. The accessible volume AV_cm3_g of Zn2H24C27(NO2)4 is 0.37159 cm³/g.; B. The accessible volume AV_cm3_g of Zn2H24C27(NO2)4 is 0.41554 cm³/g.; C. The accessible volume AV_cm3_g of Zn2H24C27(NO2)4 is 0.39956 cm³/g.; D. The accessible volume AV_cm3_g of Zn2H24C27(NO2)4 is 0.53656 cm³/g.,C
Q2-036,Attribute Query,"What is the largest cavity diameter (LCD) of ""ErH5C17(S2O3)2""?",The largest cavity diameter (LCD) of ErH5C17(S2O3)2 is 6.4405 Å.,A. The largest cavity diameter (LCD) of ErH5C17(S2O3)2 is 5.9897 Å.; B. The largest cavity diameter (LCD) of ErH5C17(S2O3)2 is 6.6982 Å.; C. The largest cavity diameter (LCD) of ErH5C17(S2O3)2 is 6.5776 Å.; D. The largest cavity diameter (LCD) of ErH5C17(S2O3)2 is 6.4405 Å.,D
Q2-037,Attribute Query,"What is the pore limiting diameter (PLD) of ""Ni2H15C22N7""?",The pore limiting diameter (PLD) of Ni2H15C22N7 is 3.9541 Å.,A. The pore limiting diameter (PLD) of Ni2H15C22N7 is 3.6773 Å.; B. The pore limiting diameter (PLD) of Ni2H15C22N7 is 3.9541 Å.; C. The pore limiting diameter (PLD) of Ni2H15C22N7 is 4.1123 Å.; D. The pore limiting diameter (PLD) of Ni2H15C22N7 is 4.0911 Å.,B
Q2-038,Attribute Query,"What is the accessible surface area ASA_m2_g of ""CuH18C24N8(ClO5)3""?",The accessible surface area ASA_m2_g of CuH18C24N8(ClO5)3 is 0 m²/g.,A. The accessible surface area ASA_m2_g of CuH18C24N8(ClO5)3 is 0 m²/g.; B. The accessible surface area ASA_m2_g of CuH18C24N8(ClO5)3 is 0 m²/g.; C. The accessible surface area ASA_m2_g of CuH18C24N8(ClO5)3 is 0 m²/g.; D. The accessible surface area ASA_m2_g of CuH18C24N8(ClO5)3 is 0.137 m²/g.,A
Q2-039,Attribute Query,"What is the accessible surface area ASA_m2_cm3 of ""Mn4H40C52O19""?",The accessible surface area ASA_m2_cm3 of Mn4H40C52O19 is 2189 m²/cm³.,A. The accessible surface area ASA_m2_cm3 of Mn4H40C52O19 is 2035.8 m²/cm³.; B. The accessible surface area ASA_m2_cm3 of Mn4H40C52O19 is 2189 m²/cm³.; C. The accessible surface area ASA_m2_cm3 of Mn4H40C52O19 is 2189.1 m²/cm³.; D. The accessible surface area ASA_m2_cm3 of Mn4H40C52O19 is 2276.6 m²/cm³.,B
Q2-040,Attribute Query,"What is the accessible volume AV_cm3_g of ""MnH2C8S2(NO)4""?",The accessible volume AV_cm3_g of MnH2C8S2(NO)4 is 0.61731 cm³/g.,A. The accessible volume AV_cm3_g of MnH2C8S2(NO)4 is 0.75431 cm³/g.; B. The accessible volume AV_cm3_g of MnH2C8S2(NO)4 is 0.5741 cm³/g.; C. The accessible volume AV_cm3_g of MnH2C8S2(NO)4 is 0.642 cm³/g.; D. The accessible volume AV_cm3_g of MnH2C8S2(NO)4 is 0.61731 cm³/g.,D
